machineID,model,age,maintenance_events,reactive_events,proactive_events,failure_events,error_events,reactive_rate,mean_days_between_recorded_failures
1,model3,18,37,7,30,7,35,0.1891891891891892,57.5
2,model4,7,32,4,28,4,28,0.125,95.0
3,model3,8,37,5,32,5,39,0.13513513513513514,82.5
4,model3,7,33,6,27,6,31,0.18181818181818182,54.0
5,model3,2,35,7,28,7,38,0.2,52.5
6,model3,7,34,0,34,0,23,0.0,
7,model3,20,37,10,27,10,39,0.2702702702702703,36.666666666666664
8,model3,16,29,5,24,5,42,0.1724137931034483,56.25
9,model4,7,34,9,25,9,40,0.2647058823529412,35.625
10,model3,10,38,5,33,5,45,0.13157894736842105,37.5
11,model2,6,29,6,23,6,39,0.20689655172413793,66.0
12,model3,9,31,6,25,6,41,0.1935483870967742,54.0
13,model1,15,33,13,20,13,42,0.3939393939393939,21.25
14,model3,1,38,4,34,4,38,0.10526315789473684,60.0
15,model3,14,28,7,21,7,51,0.25,57.5
16,model1,3,29,11,18,13,41,0.3793103448275862,27.510416666666668
17,model1,14,32,14,18,15,49,0.4375,25.651785714285715
18,model3,15,28,8,20,8,46,0.2857142857142857,38.57142857142857
19,model3,17,34,7,27,7,28,0.20588235294117646,55.0
20,model2,16,33,13,20,13,47,0.3939393939393939,30.0
21,model2,14,29,11,18,11,40,0.3793103448275862,33.0
22,model1,14,33,14,19,15,60,0.42424242424242425,22.866071428571427
23,model1,17,32,12,20,12,37,0.375,31.363636363636363
24,model1,20,38,10,28,10,33,0.2631578947368421,36.666666666666664
25,model4,16,29,8,21,8,37,0.27586206896551724,38.57142857142857
26,model3,3,34,6,28,6,42,0.17647058823529413,45.0
27,model3,9,38,3,35,3,31,0.07894736842105263,22.5
28,model4,1,31,5,26,5,40,0.16129032258064516,71.25
29,model4,3,34,2,32,2,43,0.058823529411764705,270.0
30,model3,20,37,5,32,5,40,0.13513513513513514,82.5
31,model1,11,32,7,25,7,26,0.21875,40.0
32,model4,15,34,10,24,10,37,0.29411764705882354,33.333333333333336
33,model3,14,31,9,22,9,37,0.2903225806451613,37.5
34,model4,10,32,3,29,3,34,0.09375,105.0
35,model1,17,35,10,25,11,40,0.2857142857142857,25.9125
36,model4,5,34,4,30,4,32,0.11764705882352941,65.0
37,model1,16,35,14,21,14,43,0.4,26.53846153846154
38,model4,15,29,7,22,7,42,0.2413793103448276,55.0
39,model4,0,33,4,29,4,37,0.12121212121212122,90.0
40,model2,4,34,9,25,9,42,0.2647058823529412,43.125
41,model4,9,34,3,31,3,31,0.08823529411764706,135.0
42,model1,7,38,9,29,9,38,0.23684210526315788,41.25
43,model3,14,34,10,24,10,38,0.29411764705882354,31.666666666666668
44,model4,7,33,4,29,4,32,0.12121212121212122,55.0
45,model3,14,31,6,25,7,37,0.1935483870967742,50.854166666666664
46,model4,10,36,2,34,2,29,0.05555555555555555,270.0
47,model2,6,27,10,17,10,39,0.37037037037037035,36.666666666666664
48,model4,10,33,7,26,7,30,0.21212121212121213,50.0
49,model1,15,28,12,16,12,51,0.42857142857142855,27.272727272727273
50,model4,4,31,4,27,4,43,0.12903225806451613,85.0
51,model4,19,31,9,22,10,40,0.2903225806451613,38.236111111111114
52,model3,14,37,7,30,7,46,0.1891891891891892,57.5
53,model3,5,25,6,19,6,45,0.24,51.0
54,model2,10,35,5,30,5,46,0.14285714285714285,86.25
55,model3,17,30,8,22,8,37,0.26666666666666666,38.57142857142857
56,model1,10,30,10,20,11,38,0.3333333333333333,35.7125
57,model4,10,34,2,32,2,33,0.058823529411764705,270.0
58,model1,5,31,7,24,8,35,0.22580645161290322,49.160714285714285
59,model3,17,34,7,27,8,35,0.20588235294117646,41.160714285714285
60,model4,3,32,4,28,4,43,0.125,75.0
61,model4,2,30,4,26,4,34,0.13333333333333333,90.0
62,model4,20,37,7,30,7,28,0.1891891891891892,57.5
63,model4,14,35,8,27,8,50,0.22857142857142856,40.714285714285715
64,model3,20,33,8,25,8,37,0.24242424242424243,51.42857142857143
65,model3,15,33,6,27,6,35,0.18181818181818182,36.0
66,model4,6,39,5,34,5,43,0.1282051282051282,75.0
67,model4,14,31,9,22,9,39,0.2903225806451613,33.75
68,model3,10,39,4,35,4,38,0.10256410256410256,85.0
69,model2,19,34,10,24,10,43,0.29411764705882354,33.333333333333336
70,model3,9,39,5,34,5,37,0.1282051282051282,78.75
71,model2,18,33,13,20,13,45,0.3939393939393939,22.5
72,model4,2,29,2,27,2,42,0.06896551724137931,165.0
73,model2,20,31,11,20,12,39,0.3548387096774194,30.011363636363637
74,model4,4,26,6,20,6,36,0.23076923076923078,54.0
75,model3,19,33,9,24,9,38,0.2727272727272727,35.625
76,model2,10,33,9,24,9,32,0.2727272727272727,39.375
77,model4,12,33,0,33,0,22,0.0,
78,model4,19,33,9,24,9,54,0.2727272727272727,39.375
79,model3,14,34,9,25,10,50,0.2647058823529412,38.34722222222222
80,model3,6,31,4,27,5,44,0.12903225806451613,85.28125
81,model4,1,37,8,29,8,51,0.21621621621621623,49.285714285714285
82,model3,11,33,4,29,4,33,0.12121212121212122,105.0
83,model4,18,34,13,21,14,44,0.38235294117647056,27.625
84,model3,9,38,7,31,7,43,0.18421052631578946,45.0
85,model1,16,30,11,19,11,40,0.36666666666666664,34.5
86,model3,2,30,3,27,4,27,0.1,107.04166666666667
87,model2,12,29,8,21,9,39,0.27586206896551724,44.390625
88,model4,14,34,10,24,10,50,0.29411764705882354,38.333333333333336
89,model3,17,27,7,20,7,31,0.25925925925925924,47.5
90,model2,2,34,12,22,12,41,0.35294117647058826,31.363636363636363
91,model4,17,27,6,21,6,42,0.2222222222222222,54.0
92,model1,2,32,9,23,9,45,0.28125,35.625
93,model3,18,32,6,26,6,31,0.1875,21.0
94,model2,18,31,10,21,11,44,0.3225806451612903,35.1125
95,model2,18,37,9,28,9,37,0.24324324324324326,39.375
96,model2,10,33,5,28,5,39,0.15151515151515152,78.75
97,model2,14,34,8,26,8,45,0.23529411764705882,42.857142857142854
98,model2,20,37,16,21,16,45,0.43243243243243246,20.0
99,model1,14,34,18,16,19,54,0.5294117647058824,19.229166666666668
100,model4,5,28,3,25,3,31,0.10714285714285714,150.0
